"Level","Date and Time","Source","Event ID","Task Category","Message"
"Information","13-02-2025 23:26:44","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\Users\nikha\AppData\Local\Packages\microsoftwindows.client.cbs_cw5n1h2txyewy\AC\GEH\POF.dat was cleared updating 1 keys and creating 1 modified pages."
"Information","13-02-2025 23:26:44","Microsoft-Windows-Kernel-General","16",,"The access history in hive \??\C:\ProgramData\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\S-1-5-21-2656982214-1151715741-1556899019-1001\SystemAppData\Helium\Cache\6033eba15828e069_COM15.dat was cleared updating 1 keys and creating 1 modified pages."
"Warning","13-02-2025 23:26:41","Microsoft-Windows-DistributedCOM","10016",,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"Warning","13-02-2025 23:26:41","Microsoft-Windows-DistributedCOM","10016",,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"Information","13-02-2025 23:26:41","Microsoft-Windows-Winlogon","7001",,"User Logon Notification for Customer Experience Improvement Program"
"Information","13-02-2025 23:26:39","TPM","17",,"The Trusted Platform Module (TPM) hardware failed to execute a TPM command."
"Information","13-02-2025 23:26:36","TPM","17",,"The Trusted Platform Module (TPM) hardware failed to execute a TPM command."
"Error","13-02-2025 23:26:36","ACPI","13","None",": The embedded controller (EC) did not respond within the specified timeout period. This may indicate that there is an error in the EC hardware or firmware or that the BIOS is accessing the EC incorrectly. You should check with your computer manufacturer for an upgraded BIOS. In some situations, this error may cause the computer to function incorrectly."
"Information","13-02-2025 23:26:35","Service Control Manager","7040",,"The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start."
"Information","13-02-2025 23:26:33","Microsoft-Windows-TPM-WMI","1038",,"Pre-attestation health checks confirm that the device is expected to pass attestation.
 Please see C:\WINDOWS\Logs\MeasuredBoot\0000000100-0000000001.json for detailed information on what checks were made."
